"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "XML", "HTML", "Properties", "Gradle", "Dart", "comment", "blank", "total"
"c:\Users\laabe\Documents\Code\windows_explorer\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\laabe\Documents\Code\windows_explorer\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 13, 72
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 1, 35
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"c:\Users\laabe\Documents\Code\windows_explorer\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\laabe\Documents\Code\windows_explorer\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\laabe\Documents\Code\windows_explorer\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\laabe\Documents\Code\windows_explorer\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\laabe\Documents\Code\windows_explorer\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 6, 53
"c:\Users\laabe\Documents\Code\windows_explorer\lib\models\directory_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\laabe\Documents\Code\windows_explorer\lib\models\explorer_tab.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\laabe\Documents\Code\windows_explorer\lib\riverpod\providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 8, 41
"c:\Users\laabe\Documents\Code\windows_explorer\lib\riverpod\tabs_notifier.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 6, 45
"c:\Users\laabe\Documents\Code\windows_explorer\lib\screens.dart\main_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 4, 41
"c:\Users\laabe\Documents\Code\windows_explorer\lib\services\file_system_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\laabe\Documents\Code\windows_explorer\lib\utility\app_settings_utility.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 3, 36
"c:\Users\laabe\Documents\Code\windows_explorer\lib\utility\color_schemes.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 3, 70
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\directory_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 1, 8, 88
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\side_rail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 5, 81
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\tab_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 32
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\tab_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 1, 4, 60
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\thememode_selector.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 1, 4, 65
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\title_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\title_bar_windows_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 4, 39
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\top_action_row.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\windows_action.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"c:\Users\laabe\Documents\Code\windows_explorer\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\laabe\Documents\Code\windows_explorer\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\laabe\Documents\Code\windows_explorer\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\laabe\Documents\Code\windows_explorer\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\laabe\Documents\Code\windows_explorer\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\laabe\Documents\Code\windows_explorer\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\laabe\Documents\Code\windows_explorer\pubspec.yaml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 60, 15, 99
"c:\Users\laabe\Documents\Code\windows_explorer\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 7, 31
"c:\Users\laabe\Documents\Code\windows_explorer\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"c:\Users\laabe\Documents\Code\windows_explorer\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\laabe\Documents\Code\windows_explorer\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
