Date : 2023-05-08 17:40:38
Directory : c:\Users\laabe\Documents\Code\windows_explorer
Total : 63 files,  2184 codes, 287 comments, 344 blanks, all 2815 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         19 |        708 |         13 |         80 |        801 |
| C++        |         16 |        550 |        118 |        181 |        849 |
| XML        |         10 |        466 |         48 |         12 |        526 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         89 |          5 |         22 |        116 |
| Swift      |          4 |         44 |          3 |         12 |         59 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         27 |         83 |         19 |        129 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          6 |          1 |          6 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |         63 |      2,184 |        287 |        344 |      2,815 |
| . (Files)                                                                                                    |          3 |         30 |         84 |         23 |        137 |
| android                                                                                                      |         12 |        159 |         51 |         33 |        243 |
| android (Files)                                                                                              |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                  |          8 |        116 |         51 |         22 |        189 |
| android\app (Files)                                                                                          |          1 |         54 |          5 |         13 |         72 |
| android\app\src                                                                                              |          7 |         62 |         46 |          9 |        117 |
| android\app\src\debug                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                         |          5 |         54 |         38 |          7 |         99 |
| android\app\src\main (Files)                                                                                 |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\res                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                       |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                          |         18 |        694 |          3 |         73 |        770 |
| lib (Files)                                                                                                  |          1 |         47 |          0 |          6 |         53 |
| lib\models                                                                                                   |          2 |         11 |          0 |          3 |         14 |
| lib\riverpod                                                                                                 |          2 |         72 |          0 |         14 |         86 |
| lib\screens.dart                                                                                             |          1 |         37 |          0 |          4 |         41 |
| lib\services                                                                                                 |          1 |         12 |          0 |          2 |         14 |
| lib\utility                                                                                                  |          2 |        100 |          0 |          6 |        106 |
| lib\widgets                                                                                                  |          9 |        415 |          3 |         38 |        456 |
| linux                                                                                                        |          5 |        106 |         27 |         38 |        171 |
| linux (Files)                                                                                                |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                |          2 |         20 |          9 |         11 |         40 |
| macos                                                                                                        |          5 |        443 |          3 |         12 |        458 |
| macos\Flutter                                                                                                |          1 |         12 |          3 |          4 |         19 |
| macos\Runner                                                                                                 |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                         |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                      |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                         |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                          |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                      |         10 |        443 |         91 |        142 |        676 |
| windows\flutter                                                                                              |          2 |         17 |          9 |         11 |         37 |
| windows\runner                                                                                               |          8 |        426 |         82 |        131 |        639 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\laabe\Documents\Code\windows_explorer\README.md                                                     | Markdown   |          3 |          1 |          4 |          8 |
| c:\Users\laabe\Documents\Code\windows_explorer\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\build.gradle                                      | Gradle     |         54 |          5 |         13 |         72 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          4 |          1 |          9 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\AndroidManifest.xml                      | XML        |         28 |          6 |          1 |         35 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          4 |          1 |          9 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\build.gradle                                          | Gradle     |         27 |          0 |          5 |         32 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\laabe\Documents\Code\windows_explorer\android\settings.gradle                                       | Gradle     |          8 |          0 |          4 |         12 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\laabe\Documents\Code\windows_explorer\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\main.dart                                                 | Dart       |         47 |          0 |          6 |         53 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\models\directory_content.dart                             | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\models\explorer_tab.dart                                  | Dart       |         11 |          0 |          2 |         13 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\riverpod\providers.dart                                   | Dart       |         33 |          0 |          8 |         41 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\riverpod\tabs_notifier.dart                               | Dart       |         39 |          0 |          6 |         45 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\screens.dart\main_screen.dart                             | Dart       |         37 |          0 |          4 |         41 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\services\file_system_service.dart                         | Dart       |         12 |          0 |          2 |         14 |
